ID_USUARIO;NOMBRE_1;NOMBRE_2;APELLIDO_1;APELLIDO_2;EMAIL_USUARIO;TELEFONO;FECHA_NACIMIENTO;ID_TIPO_IDEN;ID_ROLES;ID_CONTACTO
1;OSCAR;-;FAJARDO;-;os@gmail.com;3132652849;;1;1;1
2;CLAUDIA;MARCELA;BADILLO;-;clau34235@hotmail.com;3044579124;;6;6;2
3;JOHANNA;-;CARDENAS;-;jc354667@yahoo.com;3112511648;;4;4;3
4;ZULMA;PATRICIA;CASALLAS;BAUTISTA;zulmpatr@gmail.com;2883080226;;2;2;4
5;LIBIA;-;SIERRA;-;libsier@gmail.com;2862892864;;1;1;5
6;LORENA;-;CIFUENTES;-;lorcif@gmail.com;2721581329;;6;6;6
7;HENRY;ALFONSO;OTERO;RODRIGUEZ;henryo@gmail.com;2681206604;;3;3;7
8;ADRIANA;-;MARTINEZ;-;adri@gmail.com;2640831880;;5;5;8
9;JANETH;PATRICIA;PALACIOS;-;janethpatr@gmail.com;2761956053;;5;5;9
10;JUAN;CARLOS;ALCEDO;-;jca@gmail.com;3082561216;;2;2;10
11;ROCIO;ZULEIMA;SANCHEZ;ORTIZ;rociorgo@hotmail.com;2802330777;;3;3;11
12;FABIOLA;-;CANO;-;fabi29292@gmail.com;2943642313;;6;6;12
13;GLADYS;-;FONSECA;-;edificio@gmail.com;3215126489;;2;2;13
14;ALFONSO;-;ACOSTA;PAEZ;alf4342@gmail.com;2984017037;;4;4;14
15;TATIANA;-;ROSALES;-;tat345@gmail.com;3004204399;;2;2;15
16;ROCIO;CAMILA;RODRIGUEZ;SALCEDO;roci@gmail.com;2923454950;;3;3;16
17;JUAN;CARLOS;PEÑA;ROCHA;adassd@gmail.com;3084953848;;1;1;17
18;EDGAR;GIOVANY;PINZON;CRUZ;edyo235345@hotmail.com;2842705502;;4;4;18
19;ALFONSO;GREGORIO;SOCHA;CAMARGO;alf4342@gmail.com;2963829675;;1;1;19
20;LIZ;-;PEÑA;-;lizpe@gmail.com;2661019242;;2;2;20
21;CARMEN;LIGIA;SALCEDO;-;cramlig@gmail.com;2620644518;;1;1;21
22;ROCIO;-;ORTEGA;-;rociorte@gmail.com;2701393966;;4;4;22
23;LILIANA;PATRICIA;RUIZ;CIFUENTES;lilpuen@gmail.com;2782143415;;2;2;23
24;OLGA;-;DONOSO;-;olgdono@gmail.com;2741768691;;1;1;24
25;TERESA;-;CAMARGO;-;teca@gmail.com;3024391761;;5;5;25
26;NARIBE;QUITIAN;FAJARDO;-;nyib545@gmail.com;3182569481;;6;6;26
27;AMANDA;-;GARCIA;-;amand4546@hotmail.com;3213256268;;3;3;27
28;LILIBETH;-;VALDERRAMA;-;lili4546@hotmail.com;3064766486;;3;3;28
29;ANA;-;DIAZ;-;anad@hotmail.com;2600457156;;4;4;29
30;MARITZA;-;PRIETO;;marpriet@gmail.com;2903267588;;5;5;30
31;CLAUDIA;MILENA;DUQUE;-;clau2345@gmail.com;3221245125;;5;5;31
32;FANY;-;NAVARRETE;;fanynava@gmail.com;2822518140;;6;6;32
33;JOHN;DOE;SMITH;JOHNSON;john@gmail.com;1234567890;;1;4;33
34;JANETH;JOHNSON;DAVIS;-;jane@gmail.com;9876543210;;2;4;34
35;MICHAEL;WILLIAMS;THOMPSON;-;michael@gmail.com;5555555555;;3;4;35
36;SARA;-;THOMPSON;RODRIGUEZ;sarah@gmail.com;1111111111;;4;4;36
37;ROBERT;DAVIS;ANDERSON;-;robert@gmail.com;2222222222;;5;4;37
38;EMILY;GRACE;ANDERSON;WILLIAMS;emily@gmail.com;3333333333;;6;4;38
39;WILLIAM;-;RODRIGUEZ;JOHNSON;william@gmail.com;4444444444;;1;4;39
40;SOPHIA;DAVIS;THOMPSON;-;sophia@gmail.com;5555555555;;2;4;40
41;EMMA;ROSE;ANDERSON;-;emma@gmail.com;6666666666;;3;4;41
42;JAMES;-;RODRIGUEZ;-;james@gmail.com;7777777777;;4;4;42
43;OLIVIA;ESTEFANIA;CUELLAR;-;olivia@gmail.com;8888888888;;5;4;43
44;LIAM;-;CASALLAS;-;liam@gmail.com;9999999999;;6;4;44
45;BENJAMIN;-;GLASS;-;benjamin@gmail.com;1231231231;;1;4;45
46;AMELIA;-;CARSON;-;amelia@gmail.com;2342342342;;2;4;46
47;ETHAN;DANIEL;CAMELLO;-;ethan@gmail.com;3453453453;;3;4;47
48;MIA;STEPHANY;PARRA;-;mia@gmail.com;4564564564;;4;4;48
49;NOAH;-;PEDRAZA;-;noah@gmail.com;5675675675;;5;4;49
50;AVA;JAMES;PEREZ;-;oliver@gmail.com;2222222222;;6;4;50
51;JUAN;CARLOS;PEREZ;GARCIA;emma@gmail.com;1111111111;;1;4;51
52;ALISON;ALEXA;RODRIGUEZ;PEDRAZA;juan.perez@gmail.com;4444444444;;2;4;52
53;LUCIA;-;ESCOBAR;-;lucia@gmail.com;1111111111;;3;4;53
54;DANIELA;-;GOMEZ;VARGAS;daniela@gmail.com;5/10/1994;;4;4;54
55;LAURA;ISABEL;MARTINEZ;TORRES;laura.martinez@gmail.com;30/06/1996;;5;4;55
